inventory_id,product_id,warehouse_id,snapshot_date,quantity_on_hand,quantity_reserved,quantity_in_transit,reorder_triggered,last_updated
240,PRD037,WH08,2024-02-04,1627,361,103,0,2024-02-04 00:00:00
241,PRD008,WH01,2024-02-11,1314,231,119,0,2024-02-11 00:00:00
242,PRD005,WH01,2024-02-11,1811,109,36,0,2024-02-11 00:00:00
243,PRD026,WH01,2024-02-11,360,28,91,0,2024-02-11 00:00:00
244,PRD032,WH01,2024-02-11,1866,303,30,0,2024-02-11 00:00:00
245,PRD049,WH01,2024-02-11,613,67,28,0,2024-02-11 00:00:00
246,PRD037,WH01,2024-02-11,2758,686,39,0,2024-02-11 00:00:00
247,PRD008,WH02,2024-02-11,711,67,89,0,2024-02-11 00:00:00
248,PRD036,WH02,2024-02-11,555,85,109,0,2024-02-11 00:00:00
249,PRD027,WH02,2024-02-11,1008,141,0,0,2024-02-11 00:00:00
250,PRD039,WH02,2024-02-11,924,128,62,0,2024-02-11 00:00:00
251,PRD047,WH02,2024-02-11,763,169,142,0,2024-02-11 00:00:00
252,PRD040,WH02,2024-02-11,439,108,148,0,2024-02-11 00:00:00
253,PRD020,WH03,2024-02-11,1453,348,179,0,2024-02-11 00:00:00
254,PRD037,WH03,2024-02-11,1099,100,56,0,2024-02-11 00:00:00
255,PRD040,WH03,2024-02-11,736,67,74,0,2024-02-11 00:00:00
256,PRD004,WH03,2024-02-11,117,21,37,1,2024-02-11 00:00:00
257,PRD048,WH03,2024-02-11,483,39,161,0,2024-02-11 00:00:00
258,PRD007,WH03,2024-02-11,647,54,90,0,2024-02-11 00:00:00
259,PRD005,WH04,2024-02-11,491,82,107,0,2024-02-11 00:00:00
260,PRD011,WH04,2024-02-11,1071,115,178,0,2024-02-11 00:00:00
261,PRD001,WH04,2024-02-11,440,42,179,0,2024-02-11 00:00:00
262,PRD027,WH04,2024-02-11,348,66,197,0,2024-02-11 00:00:00
263,PRD029,WH04,2024-02-11,886,168,153,0,2024-02-11 00:00:00
264,PRD045,WH04,2024-02-11,419,58,155,0,2024-02-11 00:00:00
265,PRD044,WH05,2024-02-11,987,208,80,0,2024-02-11 00:00:00
266,PRD015,WH05,2024-02-11,360,32,83,0,2024-02-11 00:00:00
267,PRD017,WH05,2024-02-11,2027,147,85,0,2024-02-11 00:00:00
268,PRD041,WH05,2024-02-11,215,20,62,0,2024-02-11 00:00:00
269,PRD038,WH05,2024-02-11,819,65,0,0,2024-02-11 00:00:00
270,PRD043,WH05,2024-02-11,661,68,140,0,2024-02-11 00:00:00
271,PRD010,WH06,2024-02-11,422,84,183,0,2024-02-11 00:00:00
272,PRD005,WH06,2024-02-11,233,38,61,0,2024-02-11 00:00:00
273,PRD004,WH06,2024-02-11,311,33,172,0,2024-02-11 00:00:00
274,PRD011,WH06,2024-02-11,928,69,29,0,2024-02-11 00:00:00
275,PRD020,WH06,2024-02-11,1081,202,0,0,2024-02-11 00:00:00
276,PRD039,WH06,2024-02-11,1627,309,77,0,2024-02-11 00:00:00
277,PRD018,WH07,2024-02-11,1412,239,112,0,2024-02-11 00:00:00
278,PRD033,WH07,2024-02-11,2207,502,113,0,2024-02-11 00:00:00
279,PRD035,WH07,2024-02-11,671,132,131,0,2024-02-11 00:00:00
280,PRD032,WH07,2024-02-11,1508,257,128,0,2024-02-11 00:00:00
281,PRD029,WH07,2024-02-11,980,54,130,0,2024-02-11 00:00:00
282,PRD006,WH07,2024-02-11,1093,104,31,0,2024-02-11 00:00:00
283,PRD044,WH08,2024-02-11,1152,190,161,0,2024-02-11 00:00:00
284,PRD037,WH08,2024-02-11,1354,274,123,0,2024-02-11 00:00:00
285,PRD038,WH08,2024-02-11,1210,102,66,0,2024-02-11 00:00:00
286,PRD002,WH08,2024-02-11,59,9,186,1,2024-02-11 00:00:00
287,PRD050,WH08,2024-02-11,2268,313,66,0,2024-02-11 00:00:00
288,PRD018,WH08,2024-02-11,1363,143,50,0,2024-02-11 00:00:00
289,PRD038,WH01,2024-02-18,428,51,161,0,2024-02-18 00:00:00
290,PRD028,WH01,2024-02-18,1566,182,34,0,2024-02-18 00:00:00
291,PRD041,WH01,2024-02-18,955,175,119,0,2024-02-18 00:00:00
292,PRD032,WH01,2024-02-18,833,184,45,0,2024-02-18 00:00:00
293,PRD006,WH01,2024-02-18,1012,117,164,0,2024-02-18 00:00:00
294,PRD031,WH01,2024-02-18,901,170,181,0,2024-02-18 00:00:00
295,PRD019,WH02,2024-02-18,749,50,175,0,2024-02-18 00:00:00
296,PRD043,WH02,2024-02-18,432,43,6,0,2024-02-18 00:00:00
297,PRD026,WH02,2024-02-18,830,60,84,0,2024-02-18 00:00:00
298,PRD036,WH02,2024-02-18,927,189,146,0,2024-02-18 00:00:00
299,PRD003,WH02,2024-02-18,1701,379,128,0,2024-02-18 00:00:00
300,PRD030,WH02,2024-02-18,2108,453,46,0,2024-02-18 00:00:00
301,PRD001,WH03,2024-02-18,230,20,129,0,2024-02-18 00:00:00
302,PRD043,WH03,2024-02-18,866,105,194,0,2024-02-18 00:00:00
303,PRD035,WH03,2024-02-18,254,51,4,0,2024-02-18 00:00:00
304,PRD030,WH03,2024-02-18,1882,329,36,0,2024-02-18 00:00:00
305,PRD027,WH03,2024-02-18,1289,260,52,0,2024-02-18 00:00:00
306,PRD004,WH03,2024-02-18,134,12,171,1,2024-02-18 00:00:00
307,PRD036,WH04,2024-02-18,590,43,157,0,2024-02-18 00:00:00
308,PRD009,WH04,2024-02-18,588,143,119,0,2024-02-18 00:00:00
309,PRD019,WH04,2024-02-18,1029,176,113,0,2024-02-18 00:00:00
310,PRD029,WH04,2024-02-18,1543,150,114,0,2024-02-18 00:00:00
311,PRD045,WH04,2024-02-18,489,39,193,0,2024-02-18 00:00:00
312,PRD032,WH04,2024-02-18,1585,253,24,0,2024-02-18 00:00:00
313,PRD036,WH05,2024-02-18,510,122,3,0,2024-02-18 00:00:00
314,PRD027,WH05,2024-02-18,725,130,153,0,2024-02-18 00:00:00
315,PRD006,WH05,2024-02-18,473,38,36,0,2024-02-18 00:00:00
316,PRD015,WH05,2024-02-18,1015,240,74,0,2024-02-18 00:00:00
317,PRD008,WH05,2024-02-18,839,90,41,0,2024-02-18 00:00:00
318,PRD030,WH05,2024-02-18,2335,446,99,0,2024-02-18 00:00:00
319,PRD027,WH06,2024-02-18,609,48,164,0,2024-02-18 00:00:00
320,PRD031,WH06,2024-02-18,678,59,152,0,2024-02-18 00:00:00
321,PRD049,WH06,2024-02-18,2531,429,116,0,2024-02-18 00:00:00
322,PRD016,WH06,2024-02-18,678,135,105,0,2024-02-18 00:00:00
323,PRD030,WH06,2024-02-18,1220,94,30,0,2024-02-18 00:00:00
324,PRD036,WH06,2024-02-18,503,32,133,0,2024-02-18 00:00:00
325,PRD050,WH07,2024-02-18,776,82,52,0,2024-02-18 00:00:00
326,PRD027,WH07,2024-02-18,1153,126,198,0,2024-02-18 00:00:00
327,PRD022,WH07,2024-02-18,739,123,189,0,2024-02-18 00:00:00
328,PRD033,WH07,2024-02-18,1420,354,121,0,2024-02-18 00:00:00
329,PRD018,WH07,2024-02-18,221,32,53,0,2024-02-18 00:00:00
330,PRD001,WH07,2024-02-18,284,22,106,0,2024-02-18 00:00:00
331,PRD035,WH08,2024-02-18,430,53,163,0,2024-02-18 00:00:00
332,PRD031,WH08,2024-02-18,910,215,112,0,2024-02-18 00:00:00
333,PRD023,WH08,2024-02-18,833,186,53,0,2024-02-18 00:00:00
334,PRD022,WH08,2024-02-18,801,197,97,0,2024-02-18 00:00:00
335,PRD036,WH08,2024-02-18,852,83,149,0,2024-02-18 00:00:00
336,PRD050,WH08,2024-02-18,1180,149,68,0,2024-02-18 00:00:00
337,PRD050,WH01,2024-02-25,340,43,147,0,2024-02-25 00:00:00
338,PRD027,WH01,2024-02-25,824,150,80,0,2024-02-25 00:00:00
339,PRD003,WH01,2024-02-25,1996,427,153,0,2024-02-25 00:00:00
340,PRD021,WH01,2024-02-25,971,239,193,0,2024-02-25 00:00:00
341,PRD031,WH01,2024-02-25,672,100,170,0,2024-02-25 00:00:00
342,PRD025,WH01,2024-02-25,1380,79,103,0,2024-02-25 00:00:00
343,PRD033,WH02,2024-02-25,504,78,130,0,2024-02-25 00:00:00
344,PRD038,WH02,2024-02-25,691,97,107,0,2024-02-25 00:00:00
345,PRD022,WH02,2024-02-25,289,56,97,0,2024-02-25 00:00:00
346,PRD007,WH02,2024-02-25,1843,243,11,0,2024-02-25 00:00:00
347,PRD029,WH02,2024-02-25,881,159,48,0,2024-02-25 00:00:00
348,PRD047,WH02,2024-02-25,1276,103,188,0,2024-02-25 00:00:00
349,PRD031,WH03,2024-02-25,806,145,46,0,2024-02-25 00:00:00
350,PRD017,WH03,2024-02-25,1573,346,11,0,2024-02-25 00:00:00
351,PRD022,WH03,2024-02-25,715,157,7,0,2024-02-25 00:00:00
352,PRD040,WH03,2024-02-25,598,132,148,0,2024-02-25 00:00:00
